#{"t_start": 1639475369.2644887, "env_id": null}
r,l,t
14.9,0,0.421845
18.8,1,0.455045
9.5,2,0.997983
12.8,3,1.133714
13.9,4,1.855349
7.4,5,2.450036
5.0,6,2.975393
9.1,7,3.563246
15.4,8,3.65699
6.1,9,4.805354
16.8,10,4.87371
-9.5,11,5.819939
15.1,12,6.386309
9.1,13,7.126496
7.6,14,7.705559
19.2,15,7.724112
19.2,16,7.742665
14.7,17,7.846174
16.2,18,7.924294
19.4,19,8.124477
15.6,20,8.214315
10.4,21,9.089259
18.5,22,9.123437
18.3,23,9.15859
16.1,24,9.234757
16.9,25,9.630241
13.3,26,9.764998
