#{"t_start": 1639476598.032784, "env_id": null}
r,l,t
17.8,0,0.748975
16.3,1,0.823186
7.8,2,1.760624
-13.0,3,4.223358
-12.7,4,6.108003
10.5,5,6.752496
-8.4,6,8.294388
14.8,7,9.080469
13.2,8,9.222062
7.5,9,10.084312
-10.2,10,12.653486
13.2,11,12.792148
13.4,12,13.424918
6.8,13,27.070545
17.7,14,27.119371
16.1,15,27.203349
-10.5,16,28.788209
14.1,17,28.902459
12.3,18,29.4327
13.0,19,30.021528
10.2,20,30.209993
13.2,21,30.674807
15.3,22,30.768549
14.4,23,31.170868
12.4,24,31.321249
12.2,25,31.799736
10.7,26,32.287984
16.0,27,32.369035
13.6,28,32.827989
15.5,29,32.918805
7.7,30,33.389478
-7.1,31,34.634514
15.9,32,35.119835
15.9,33,35.20186
15.3,34,35.293653
9.9,35,35.737961
17.4,36,35.788736
15.4,37,36.107079
15.9,38,36.191055
